Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-12-28,6:00 PM,7:00 PM,Columbus Blue Jackets,,Boston Bruins,,Scheduled
2024-12-28,6:00 PM,7:00 PM,Washington Capitals,,Toronto Maple Leafs,,Scheduled
2024-12-28,6:00 PM,7:00 PM,New York Rangers,,Tampa Bay Lightning,,Scheduled
2024-12-28,6:00 PM,7:00 PM,New Jersey Devils,,Carolina Hurricanes,,Scheduled
2024-12-28,6:00 PM,7:00 PM,Ottawa Senators,,Winnipeg Jets,,Scheduled
2024-12-28,6:30 PM,7:30 PM,Pittsburgh Penguins,,New York Islanders,,Scheduled
2024-12-28,9:00 PM,10:00 PM,Calgary Flames,,San Jose Sharks,,Scheduled
2024-12-29,2:00 PM,3:00 PM,Buffalo Sabres,,St. Louis Blues,,Scheduled
2024-12-29,3:00 PM,4:00 PM,Edmonton Oilers,,Anaheim Ducks,,Scheduled
2024-12-29,4:00 PM,5:00 PM,Washington Capitals,,Detroit Red Wings,,Scheduled
2024-12-29,4:00 PM,5:00 PM,Montreal Canadiens,,Tampa Bay Lightning,,Scheduled
2024-12-29,4:30 PM,5:30 PM,New York Islanders,,Pittsburgh Penguins,,Scheduled
2024-12-29,7:00 PM,8:00 PM,Ottawa Senators,,Minnesota Wild,,Scheduled
2024-12-29,7:00 PM,8:00 PM,Calgary Flames,,Vegas Golden Knights,,Scheduled
2024-12-29,7:30 PM,8:30 PM,Dallas Stars,,Chicago Blackhawks,,Scheduled
2024-12-29,8:00 PM,9:00 PM,Philadelphia Flyers,,Los Angeles Kings,,Scheduled
2024-12-30,6:00 PM,7:00 PM,New York Rangers,,Florida Panthers,,Scheduled
2024-12-30,6:30 PM,7:30 PM,Nashville Predators,,Winnipeg Jets,,Scheduled
2024-12-30,7:00 PM,8:00 PM,Utah Hockey Club,,Seattle Kraken,,Scheduled
2024-12-31,11:30 AM,12:30 PM,Boston Bruins,,Washington Capitals,,Scheduled
2024-12-31,12:00 PM,1:00 PM,New York Islanders,,Toronto Maple Leafs,,Scheduled
2024-12-31,2:00 PM,3:00 PM,Montreal Canadiens,,Vegas Golden Knights,,Scheduled
2024-12-31,4:00 PM,5:00 PM,St. Louis Blues,,Chicago Blackhawks,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Pittsburgh Penguins,,Detroit Red Wings,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Carolina Hurricanes,,Columbus Blue Jackets,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Buffalo Sabres,,Dallas Stars,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Nashville Predators,,Minnesota Wild,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Winnipeg Jets,,Colorado Avalanche,,Scheduled
2024-12-31,7:00 PM,8:00 PM,New Jersey Devils,,Anaheim Ducks,,Scheduled
2024-12-31,7:00 PM,8:00 PM,Philadelphia Flyers,,San Jose Sharks,,Scheduled
2024-12-31,8:00 PM,9:00 PM,Vancouver Canucks,,Calgary Flames,,Scheduled
2024-12-31,8:00 PM,9:00 PM,Utah Hockey Club,,Edmonton Oilers,,Scheduled
2025-01-01,5:00 PM,6:00 PM,New Jersey Devils,,Los Angeles Kings,,Scheduled
2025-01-02,6:00 PM,7:00 PM,Carolina Hurricanes,,Florida Panthers,,Scheduled
2025-01-02,6:00 PM,7:00 PM,Boston Bruins,,New York Rangers,,Scheduled
2025-01-02,6:00 PM,7:00 PM,Minnesota Wild,,Washington Capitals,,Scheduled
2025-01-02,6:00 PM,7:00 PM,Detroit Red Wings,,Columbus Blue Jackets,,Scheduled
2025-01-02,6:30 PM,7:30 PM,Toronto Maple Leafs,,New York Islanders,,Scheduled
2025-01-02,7:00 PM,8:00 PM,Ottawa Senators,,Dallas Stars,,Scheduled
2025-01-02,7:00 PM,8:00 PM,Anaheim Ducks,,Winnipeg Jets,,Scheduled
2025-01-02,8:00 PM,9:00 PM,Buffalo Sabres,,Colorado Avalanche,,Scheduled
2025-01-02,8:00 PM,9:00 PM,Utah Hockey Club,,Calgary Flames,,Scheduled
2025-01-02,9:00 PM,10:00 PM,Philadelphia Flyers,,Vegas Golden Knights,,Scheduled
2025-01-02,9:00 PM,10:00 PM,Vancouver Canucks,,Seattle Kraken,,Scheduled
2025-01-02,9:30 PM,10:30 PM,Tampa Bay Lightning,,San Jose Sharks,,Scheduled
2025-01-03,6:00 PM,7:00 PM,Pittsburgh Penguins,,Florida Panthers,,Scheduled
2025-01-03,7:00 PM,8:00 PM,Montreal Canadiens,,Chicago Blackhawks,,Scheduled
2025-01-03,7:00 PM,8:00 PM,Ottawa Senators,,St. Louis Blues,,Scheduled
2025-01-03,8:00 PM,9:00 PM,Anaheim Ducks,,Edmonton Oilers,,Scheduled
2025-01-03,9:00 PM,10:00 PM,Nashville Predators,,Vancouver Canucks,,Scheduled
2025-01-04,11:00 AM,12:00 PM,New York Rangers,,Washington Capitals,,Scheduled
2025-01-04,3:00 PM,4:00 PM,New Jersey Devils,,San Jose Sharks,,Scheduled
2025-01-04,6:00 PM,7:00 PM,Detroit Red Wings,,Winnipeg Jets,,Scheduled
2025-01-04,6:00 PM,7:00 PM,Boston Bruins,,Toronto Maple Leafs,,Scheduled
2025-01-04,6:00 PM,7:00 PM,Minnesota Wild,,Carolina Hurricanes,,Scheduled
2025-01-04,6:00 PM,7:00 PM,St. Louis Blues,,Columbus Blue Jackets,,Scheduled
2025-01-04,6:00 PM,7:00 PM,Montreal Canadiens,,Colorado Avalanche,,Scheduled
2025-01-04,7:00 PM,8:00 PM,Utah Hockey Club,,Dallas Stars,,Scheduled
2025-01-04,8:00 PM,9:00 PM,Tampa Bay Lightning,,Los Angeles Kings,,Scheduled
2025-01-04,9:00 PM,10:00 PM,Nashville Predators,,Calgary Flames,,Scheduled
2025-01-04,9:00 PM,10:00 PM,Buffalo Sabres,,Vegas Golden Knights,,Scheduled
2025-01-04,9:00 PM,10:00 PM,Edmonton Oilers,,Seattle Kraken,,Scheduled
2025-01-05,2:00 PM,3:00 PM,New York Rangers,,Chicago Blackhawks,,Scheduled
2025-01-05,5:00 PM,6:00 PM,New York Islanders,,Boston Bruins,,Scheduled
2025-01-05,5:00 PM,6:00 PM,Pittsburgh Penguins,,Carolina Hurricanes,,Scheduled
2025-01-05,6:00 PM,7:00 PM,Philadelphia Flyers,,Toronto Maple Leafs,,Scheduled
2025-01-05,7:00 PM,8:00 PM,Tampa Bay Lightning,,Anaheim Ducks,,Scheduled
2025-01-06,6:00 PM,7:00 PM,Washington Capitals,,Buffalo Sabres,,Scheduled
2025-01-06,6:30 PM,7:30 PM,Vancouver Canucks,,Montreal Canadiens,,Scheduled
2025-01-06,8:00 PM,9:00 PM,Florida Panthers,,Colorado Avalanche,,Scheduled
2025-01-06,9:00 PM,10:00 PM,New Jersey Devils,,Seattle Kraken,,Scheduled
2025-01-07,6:00 PM,7:00 PM,Carolina Hurricanes,,Tampa Bay Lightning,,Scheduled
2025-01-07,6:00 PM,7:00 PM,Edmonton Oilers,,Boston Bruins,,Scheduled
2025-01-07,6:00 PM,7:00 PM,Ottawa Senators,,Detroit Red Wings,,Scheduled
2025-01-07,6:00 PM,7:00 PM,Dallas Stars,,New York Rangers,,Scheduled
2025-01-07,6:00 PM,7:00 PM,Columbus Blue Jackets,,Pittsburgh Penguins,,Scheduled
2025-01-07,6:30 PM,7:30 PM,Toronto Maple Leafs,,Philadelphia Flyers,,Scheduled
2025-01-07,7:00 PM,8:00 PM,St. Louis Blues,,Minnesota Wild,,Scheduled
2025-01-07,7:00 PM,8:00 PM,Nashville Predators,,Winnipeg Jets,,Scheduled
2025-01-07,9:00 PM,10:00 PM,Calgary Flames,,Anaheim Ducks,,Scheduled
2025-01-07,9:30 PM,10:30 PM,Vegas Golden Knights,,San Jose Sharks,,Scheduled
2025-01-08,6:30 PM,7:30 PM,Vancouver Canucks,,Washington Capitals,,Scheduled
2025-01-08,6:30 PM,7:30 PM,Colorado Avalanche,,Chicago Blackhawks,,Scheduled
2025-01-08,9:00 PM,10:00 PM,Florida Panthers,,Utah Hockey Club,,Scheduled
2025-01-08,9:30 PM,10:30 PM,Calgary Flames,,Los Angeles Kings,,Scheduled
2025-01-09,6:00 PM,7:00 PM,Buffalo Sabres,,Ottawa Senators,,Scheduled
2025-01-09,6:00 PM,7:00 PM,Boston Bruins,,Tampa Bay Lightning,,Scheduled
2025-01-09,6:00 PM,7:00 PM,New Jersey Devils,,New York Rangers,,Scheduled
2025-01-09,6:00 PM,7:00 PM,Dallas Stars,,Philadelphia Flyers,,Scheduled
2025-01-09,6:00 PM,7:00 PM,Edmonton Oilers,,Pittsburgh Penguins,,Scheduled
2025-01-09,6:00 PM,7:00 PM,Seattle Kraken,,Columbus Blue Jackets,,Scheduled
2025-01-09,6:30 PM,7:30 PM,Toronto Maple Leafs,,Carolina Hurricanes,,Scheduled
2025-01-09,7:00 PM,8:00 PM,Anaheim Ducks,,St. Louis Blues,,Scheduled
2025-01-09,7:00 PM,8:00 PM,Colorado Avalanche,,Minnesota Wild,,Scheduled
2025-01-09,9:00 PM,10:00 PM,New York Islanders,,Vegas Golden Knights,,Scheduled
2025-01-10,6:00 PM,7:00 PM,Chicago Blackhawks,,Detroit Red Wings,,Scheduled
2025-01-10,6:00 PM,7:00 PM,Montreal Canadiens,,Washington Capitals,,Scheduled
2025-01-10,6:00 PM,7:00 PM,Vancouver Canucks,,Carolina Hurricanes,,Scheduled
2025-01-10,7:00 PM,8:00 PM,Los Angeles Kings,,Winnipeg Jets,,Scheduled
2025-01-10,8:00 PM,9:00 PM,San Jose Sharks,,Utah Hockey Club,,Scheduled
2025-01-11,12:00 PM,1:00 PM,Boston Bruins,,Florida Panthers,,Scheduled
2025-01-11,3:00 PM,4:00 PM,Seattle Kraken,,Buffalo Sabres,,Scheduled
2025-01-11,3:00 PM,4:00 PM,Ottawa Senators,,Pittsburgh Penguins,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Vancouver Canucks,,Toronto Maple Leafs,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Dallas Stars,,Montreal Canadiens,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Tampa Bay Lightning,,New Jersey Devils,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Anaheim Ducks,,Philadelphia Flyers,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Edmonton Oilers,,Chicago Blackhawks,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Columbus Blue Jackets,,St. Louis Blues,,Scheduled
2025-01-11,6:00 PM,7:00 PM,Colorado Avalanche,,Winnipeg Jets,,Scheduled
2025-01-11,7:00 PM,8:00 PM,Washington Capitals,,Nashville Predators,,Scheduled
2025-01-11,8:00 PM,9:00 PM,New York Islanders,,Utah Hockey Club,,Scheduled
2025-01-11,9:00 PM,10:00 PM,Los Angeles Kings,,Calgary Flames,,Scheduled
2025-01-11,9:00 PM,10:00 PM,New York Rangers,,Vegas Golden Knights,,Scheduled
2025-01-11,9:00 PM,10:00 PM,Minnesota Wild,,San Jose Sharks,,Scheduled
2025-01-12,2:00 PM,3:00 PM,Seattle Kraken,,Detroit Red Wings,,Scheduled
2025-01-12,4:00 PM,5:00 PM,Dallas Stars,,Ottawa Senators,,Scheduled
2025-01-12,4:00 PM,5:00 PM,Tampa Bay Lightning,,Pittsburgh Penguins,,Scheduled
2025-01-12,4:00 PM,5:00 PM,Anaheim Ducks,,Carolina Hurricanes,,Scheduled
2025-01-12,7:00 PM,8:00 PM,Minnesota Wild,,Vegas Golden Knights,,Scheduled
2025-01-13,6:00 PM,7:00 PM,Florida Panthers,,Philadelphia Flyers,,Scheduled
2025-01-13,6:30 PM,7:30 PM,Calgary Flames,,Chicago Blackhawks,,Scheduled
2025-01-13,8:30 PM,9:30 PM,Los Angeles Kings,,Edmonton Oilers,,Scheduled
2025-01-14,6:00 PM,7:00 PM,Tampa Bay Lightning,,Boston Bruins,,Scheduled
2025-01-14,6:00 PM,7:00 PM,Dallas Stars,,Toronto Maple Leafs,,Scheduled
2025-01-14,6:00 PM,7:00 PM,San Jose Sharks,,Detroit Red Wings,,Scheduled
2025-01-14,6:00 PM,7:00 PM,Seattle Kraken,,Pittsburgh Penguins,,Scheduled
2025-01-14,6:00 PM,7:00 PM,Anaheim Ducks,,Washington Capitals,,Scheduled
2025-01-14,6:00 PM,7:00 PM,Philadelphia Flyers,,Columbus Blue Jackets,,Scheduled
2025-01-14,6:30 PM,7:30 PM,Florida Panthers,,New Jersey Devils,,Scheduled
2025-01-14,6:30 PM,7:30 PM,Ottawa Senators,,New York Islanders,,Scheduled
2025-01-14,7:00 PM,8:00 PM,Calgary Flames,,St. Louis Blues,,Scheduled
2025-01-14,7:00 PM,8:00 PM,Vegas Golden Knights,,Nashville Predators,,Scheduled
2025-01-14,7:00 PM,8:00 PM,Vancouver Canucks,,Winnipeg Jets,,Scheduled
2025-01-14,8:00 PM,9:00 PM,New York Rangers,,Colorado Avalanche,,Scheduled
2025-01-14,8:00 PM,9:00 PM,Montreal Canadiens,,Utah Hockey Club,,Scheduled
2025-01-15,5:00 PM,6:00 PM,Carolina Hurricanes,,Buffalo Sabres,,Scheduled
2025-01-15,7:30 PM,8:30 PM,Edmonton Oilers,,Minnesota Wild,,Scheduled
2025-01-16,6:00 PM,7:00 PM,New Jersey Devils,,Toronto Maple Leafs,,Scheduled
2025-01-16,6:00 PM,7:00 PM,Washington Capitals,,Ottawa Senators,,Scheduled
2025-01-16,6:00 PM,7:00 PM,Anaheim Ducks,,Tampa Bay Lightning,,Scheduled
2025-01-16,6:00 PM,7:00 PM,Detroit Red Wings,,Florida Panthers,,Scheduled
2025-01-16,6:00 PM,7:00 PM,San Jose Sharks,,Columbus Blue Jackets,,Scheduled
2025-01-16,6:30 PM,7:30 PM,Philadelphia Flyers,,New York Islanders,,Scheduled
2025-01-16,7:00 PM,8:00 PM,Calgary Flames,,St. Louis Blues,,Scheduled
2025-01-16,7:00 PM,8:00 PM,Chicago Blackhawks,,Nashville Predators,,Scheduled
2025-01-16,7:00 PM,8:00 PM,Montreal Canadiens,,Dallas Stars,,Scheduled
2025-01-16,7:00 PM,8:00 PM,Seattle Kraken,,Winnipeg Jets,,Scheduled
2025-01-16,8:00 PM,9:00 PM,New York Rangers,,Utah Hockey Club,,Scheduled
2025-01-16,8:30 PM,9:30 PM,Edmonton Oilers,,Colorado Avalanche,,Scheduled
2025-01-16,9:00 PM,10:00 PM,Los Angeles Kings,,Vancouver Canucks,,Scheduled
2025-01-17,6:00 PM,7:00 PM,Pittsburgh Penguins,,Buffalo Sabres,,Scheduled
2025-01-17,6:00 PM,7:00 PM,Vegas Golden Knights,,Carolina Hurricanes,,Scheduled
2025-01-18,11:30 AM,12:30 PM,Philadelphia Flyers,,New Jersey Devils,,Scheduled
2025-01-18,2:00 PM,3:00 PM,Boston Bruins,,Ottawa Senators,,Scheduled
2025-01-18,3:00 PM,4:00 PM,Dallas Stars,,Colorado Avalanche,,Scheduled
2025-01-18,5:00 PM,6:00 PM,Anaheim Ducks,,Florida Panthers,,Scheduled
2025-01-18,6:00 PM,7:00 PM,Toronto Maple Leafs,,Montreal Canadiens,,Scheduled
2025-01-18,6:00 PM,7:00 PM,Detroit Red Wings,,Tampa Bay Lightning,,Scheduled
2025-01-18,6:00 PM,7:00 PM,Columbus Blue Jackets,,New York Rangers,,Scheduled
2025-01-18,6:00 PM,7:00 PM,Pittsburgh Penguins,,Washington Capitals,,Scheduled
2025-01-18,6:00 PM,7:00 PM,Calgary Flames,,Winnipeg Jets,,Scheduled
2025-01-18,6:30 PM,7:30 PM,San Jose Sharks,,New York Islanders,,Scheduled
2025-01-18,7:00 PM,8:00 PM,Vegas Golden Knights,,Chicago Blackhawks,,Scheduled
2025-01-18,7:00 PM,8:00 PM,Minnesota Wild,,Nashville Predators,,Scheduled
2025-01-18,8:00 PM,9:00 PM,St. Louis Blues,,Utah Hockey Club,,Scheduled
2025-01-18,9:00 PM,10:00 PM,Edmonton Oilers,,Vancouver Canucks,,Scheduled
2025-01-18,9:00 PM,10:00 PM,Los Angeles Kings,,Seattle Kraken,,Scheduled
2025-01-19,12:00 PM,1:00 PM,Ottawa Senators,,New Jersey Devils,,Scheduled
2025-01-19,6:00 PM,7:00 PM,New York Rangers,,Montreal Canadiens,,Scheduled
2025-01-19,7:00 PM,8:00 PM,Detroit Red Wings,,Dallas Stars,,Scheduled
2025-01-20,12:00 PM,1:00 PM,San Jose Sharks,,Boston Bruins,,Scheduled
2025-01-20,2:00 PM,3:00 PM,Minnesota Wild,,Colorado Avalanche,,Scheduled
2025-01-20,3:00 PM,4:00 PM,Buffalo Sabres,,Seattle Kraken,,Scheduled
2025-01-20,5:00 PM,6:00 PM,St. Louis Blues,,Vegas Golden Knights,,Scheduled
2025-01-20,6:30 PM,7:30 PM,Tampa Bay Lightning,,Toronto Maple Leafs,,Scheduled
2025-01-20,6:30 PM,7:30 PM,Columbus Blue Jackets,,New York Islanders,,Scheduled
2025-01-20,7:30 PM,8:30 PM,Carolina Hurricanes,,Chicago Blackhawks,,Scheduled
2025-01-20,8:30 PM,9:30 PM,Winnipeg Jets,,Utah Hockey Club,,Scheduled
2025-01-20,9:30 PM,10:30 PM,Pittsburgh Penguins,,Los Angeles Kings,,Scheduled
2025-01-21,6:00 PM,7:00 PM,Tampa Bay Lightning,,Montreal Canadiens,,Scheduled
2025-01-21,6:00 PM,7:00 PM,Ottawa Senators,,New York Rangers,,Scheduled
2025-01-21,6:00 PM,7:00 PM,Detroit Red Wings,,Philadelphia Flyers,,Scheduled
2025-01-21,7:00 PM,8:00 PM,San Jose Sharks,,Nashville Predators,,Scheduled
2025-01-21,7:00 PM,8:00 PM,Carolina Hurricanes,,Dallas Stars,,Scheduled
2025-01-21,8:00 PM,9:00 PM,Washington Capitals,,Edmonton Oilers,,Scheduled
2025-01-21,9:00 PM,10:00 PM,Buffalo Sabres,,Vancouver Canucks,,Scheduled
2025-01-21,9:00 PM,10:00 PM,Florida Panthers,,Anaheim Ducks,,Scheduled
2025-01-22,6:00 PM,7:00 PM,Boston Bruins,,New Jersey Devils,,Scheduled
2025-01-22,6:30 PM,7:30 PM,Columbus Blue Jackets,,Toronto Maple Leafs,,Scheduled
2025-01-22,8:30 PM,9:30 PM,Winnipeg Jets,,Colorado Avalanche,,Scheduled
2025-01-22,9:00 PM,10:00 PM,Florida Panthers,,Los Angeles Kings,,Scheduled
2025-01-23,6:00 PM,7:00 PM,Ottawa Senators,,Boston Bruins,,Scheduled
2025-01-23,6:00 PM,7:00 PM,Montreal Canadiens,,Detroit Red Wings,,Scheduled
2025-01-23,6:00 PM,7:00 PM,Philadelphia Flyers,,New York Rangers,,Scheduled
2025-01-23,6:00 PM,7:00 PM,Columbus Blue Jackets,,Carolina Hurricanes,,Scheduled
2025-01-23,7:00 PM,8:00 PM,Vegas Golden Knights,,St. Louis Blues,,Scheduled
2025-01-23,7:00 PM,8:00 PM,Utah Hockey Club,,Minnesota Wild,,Scheduled
2025-01-23,8:00 PM,9:00 PM,Buffalo Sabres,,Calgary Flames,,Scheduled
2025-01-23,8:00 PM,9:00 PM,Vancouver Canucks,,Edmonton Oilers,,Scheduled
2025-01-23,9:00 PM,10:00 PM,Pittsburgh Penguins,,Anaheim Ducks,,Scheduled
2025-01-23,9:00 PM,10:00 PM,Washington Capitals,,Seattle Kraken,,Scheduled
2025-01-23,9:30 PM,10:30 PM,Nashville Predators,,San Jose Sharks,,Scheduled
2025-01-24,6:30 PM,7:30 PM,Philadelphia Flyers,,New York Islanders,,Scheduled
2025-01-24,6:30 PM,7:30 PM,Vegas Golden Knights,,Dallas Stars,,Scheduled
2025-01-24,7:00 PM,8:00 PM,Tampa Bay Lightning,,Chicago Blackhawks,,Scheduled
2025-01-24,7:00 PM,8:00 PM,Utah Hockey Club,,Winnipeg Jets,,Scheduled
2025-01-25,12:00 PM,1:00 PM,Colorado Avalanche,,Boston Bruins,,Scheduled
2025-01-25,3:00 PM,4:00 PM,Buffalo Sabres,,Edmonton Oilers,,Scheduled
2025-01-25,3:00 PM,4:00 PM,Pittsburgh Penguins,,Seattle Kraken,,Scheduled
2025-01-25,6:00 PM,7:00 PM,New Jersey Devils,,Montreal Canadiens,,Scheduled
2025-01-25,6:00 PM,7:00 PM,Toronto Maple Leafs,,Ottawa Senators,,Scheduled
2025-01-25,6:00 PM,7:00 PM,Tampa Bay Lightning,,Detroit Red Wings,,Scheduled
2025-01-25,6:00 PM,7:00 PM,Los Angeles Kings,,Columbus Blue Jackets,,Scheduled
2025-01-25,6:00 PM,7:00 PM,Dallas Stars,,St. Louis Blues,,Scheduled
2025-01-25,6:00 PM,7:00 PM,Calgary Flames,,Minnesota Wild,,Scheduled
2025-01-25,6:30 PM,7:30 PM,Carolina Hurricanes,,New York Islanders,,Scheduled
2025-01-25,9:00 PM,10:00 PM,Washington Capitals,,Vancouver Canucks,,Scheduled
2025-01-25,9:00 PM,10:00 PM,Nashville Predators,,Anaheim Ducks,,Scheduled
2025-01-25,9:00 PM,10:00 PM,Florida Panthers,,San Jose Sharks,,Scheduled
2025-01-26,12:00 PM,1:00 PM,Colorado Avalanche,,New York Rangers,,Scheduled
2025-01-26,4:00 PM,5:00 PM,Utah Hockey Club,,Ottawa Senators,,Scheduled
2025-01-26,5:00 PM,6:00 PM,Calgary Flames,,Winnipeg Jets,,Scheduled
2025-01-26,6:00 PM,7:00 PM,Minnesota Wild,,Chicago Blackhawks,,Scheduled
2025-01-26,7:00 PM,8:00 PM,Florida Panthers,,Vegas Golden Knights,,Scheduled
2025-01-27,6:00 PM,7:00 PM,Los Angeles Kings,,Detroit Red Wings,,Scheduled
2025-01-27,6:00 PM,7:00 PM,New Jersey Devils,,Philadelphia Flyers,,Scheduled
2025-01-27,6:30 PM,7:30 PM,Vancouver Canucks,,St. Louis Blues,,Scheduled
2025-01-27,8:30 PM,9:30 PM,Seattle Kraken,,Edmonton Oilers,,Scheduled
2025-01-27,9:30 PM,10:30 PM,Pittsburgh Penguins,,San Jose Sharks,,Scheduled
2025-01-28,6:00 PM,7:00 PM,Boston Bruins,,Buffalo Sabres,,Scheduled
2025-01-28,6:00 PM,7:00 PM,Winnipeg Jets,,Montreal Canadiens,,Scheduled
2025-01-28,6:00 PM,7:00 PM,Chicago Blackhawks,,Tampa Bay Lightning,,Scheduled
2025-01-28,6:00 PM,7:00 PM,Carolina Hurricanes,,New York Rangers,,Scheduled
2025-01-28,6:30 PM,7:30 PM,Colorado Avalanche,,New York Islanders,,Scheduled
2025-01-28,8:00 PM,9:00 PM,Washington Capitals,,Calgary Flames,,Scheduled
2025-01-28,9:00 PM,10:00 PM,Dallas Stars,,Vegas Golden Knights,,Scheduled
2025-01-28,9:00 PM,10:00 PM,Anaheim Ducks,,Seattle Kraken,,Scheduled
2025-01-29,6:00 PM,7:00 PM,Minnesota Wild,,Toronto Maple Leafs,,Scheduled
2025-01-29,6:00 PM,7:00 PM,Los Angeles Kings,,Florida Panthers,,Scheduled
2025-01-29,6:00 PM,7:00 PM,Philadelphia Flyers,,New Jersey Devils,,Scheduled
2025-01-29,8:00 PM,9:00 PM,Vancouver Canucks,,Nashville Predators,,Scheduled
2025-01-29,8:30 PM,9:30 PM,Pittsburgh Penguins,,Utah Hockey Club,,Scheduled
2025-01-30,6:00 PM,7:00 PM,Winnipeg Jets,,Boston Bruins,,Scheduled
2025-01-30,6:00 PM,7:00 PM,Minnesota Wild,,Montreal Canadiens,,Scheduled
2025-01-30,6:00 PM,7:00 PM,Washington Capitals,,Ottawa Senators,,Scheduled
2025-01-30,6:00 PM,7:00 PM,Los Angeles Kings,,Tampa Bay Lightning,,Scheduled
2025-01-30,6:00 PM,7:00 PM,Chicago Blackhawks,,Carolina Hurricanes,,Scheduled
2025-01-30,6:30 PM,7:30 PM,New York Islanders,,Philadelphia Flyers,,Scheduled
2025-01-30,8:00 PM,9:00 PM,Anaheim Ducks,,Calgary Flames,,Scheduled
2025-01-30,8:00 PM,9:00 PM,Detroit Red Wings,,Edmonton Oilers,,Scheduled
2025-01-30,9:00 PM,10:00 PM,Columbus Blue Jackets,,Vegas Golden Knights,,Scheduled
2025-01-30,9:30 PM,10:30 PM,San Jose Sharks,,Seattle Kraken,,Scheduled
2025-01-31,6:00 PM,7:00 PM,Nashville Predators,,Buffalo Sabres,,Scheduled
2025-01-31,7:00 PM,8:00 PM,Vancouver Canucks,,Dallas Stars,,Scheduled
2025-01-31,8:00 PM,9:00 PM,St. Louis Blues,,Colorado Avalanche,,Scheduled
2025-01-31,8:00 PM,9:00 PM,Columbus Blue Jackets,,Utah Hockey Club,,Scheduled
2025-02-01,12:00 PM,1:00 PM,Chicago Blackhawks,,Florida Panthers,,Scheduled
2025-02-01,2:30 PM,3:30 PM,New York Rangers,,Boston Bruins,,Scheduled
2025-02-01,6:00 PM,7:00 PM,Minnesota Wild,,Ottawa Senators,,Scheduled
2025-02-01,6:00 PM,7:00 PM,New York Islanders,,Tampa Bay Lightning,,Scheduled
2025-02-01,6:00 PM,7:00 PM,Nashville Predators,,Pittsburgh Penguins,,Scheduled
2025-02-01,6:00 PM,7:00 PM,Winnipeg Jets,,Washington Capitals,,Scheduled
2025-02-01,6:00 PM,7:00 PM,Los Angeles Kings,,Carolina Hurricanes,,Scheduled
2025-02-01,6:00 PM,7:00 PM,Toronto Maple Leafs,,Edmonton Oilers,,Scheduled
2025-02-01,9:00 PM,10:00 PM,Detroit Red Wings,,Calgary Flames,,Scheduled
2025-02-02,12:00 PM,1:00 PM,New Jersey Devils,,Buffalo Sabres,,Scheduled
2025-02-02,2:00 PM,3:00 PM,Philadelphia Flyers,,Colorado Avalanche,,Scheduled
2025-02-02,3:00 PM,4:00 PM,Montreal Canadiens,,Anaheim Ducks,,Scheduled
2025-02-02,5:00 PM,6:00 PM,New York Islanders,,Florida Panthers,,Scheduled
2025-02-02,5:00 PM,6:00 PM,Vegas Golden Knights,,New York Rangers,,Scheduled
2025-02-02,5:00 PM,6:00 PM,Columbus Blue Jackets,,Dallas Stars,,Scheduled
2025-02-02,6:00 PM,7:00 PM,St. Louis Blues,,Utah Hockey Club,,Scheduled
2025-02-02,7:00 PM,8:00 PM,Detroit Red Wings,,Vancouver Canucks,,Scheduled
2025-02-02,8:00 PM,9:00 PM,Calgary Flames,,Seattle Kraken,,Scheduled
2025-02-03,6:30 PM,7:30 PM,Ottawa Senators,,Nashville Predators,,Scheduled
2025-02-04,6:00 PM,7:00 PM,Minnesota Wild,,Boston Bruins,,Scheduled
2025-02-04,6:00 PM,7:00 PM,Columbus Blue Jackets,,Buffalo Sabres,,Scheduled
2025-02-04,6:00 PM,7:00 PM,Ottawa Senators,,Tampa Bay Lightning,,Scheduled
2025-02-04,6:00 PM,7:00 PM,New Jersey Devils,,Pittsburgh Penguins,,Scheduled
2025-02-04,6:00 PM,7:00 PM,Florida Panthers,,Washington Capitals,,Scheduled
2025-02-04,6:30 PM,7:30 PM,Vegas Golden Knights,,New York Islanders,,Scheduled
2025-02-04,7:00 PM,8:00 PM,Edmonton Oilers,,St. Louis Blues,,Scheduled
2025-02-04,7:00 PM,8:00 PM,Carolina Hurricanes,,Winnipeg Jets,,Scheduled
2025-02-04,8:00 PM,9:00 PM,Toronto Maple Leafs,,Calgary Flames,,Scheduled
2025-02-04,8:00 PM,9:00 PM,Philadelphia Flyers,,Utah Hockey Club,,Scheduled
2025-02-04,9:00 PM,10:00 PM,Colorado Avalanche,,Vancouver Canucks,,Scheduled
2025-02-04,9:00 PM,10:00 PM,Detroit Red Wings,,Seattle Kraken,,Scheduled
2025-02-04,9:30 PM,10:30 PM,Dallas Stars,,Anaheim Ducks,,Scheduled
