Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-10-22,5:45 PM,7:45 PM,Detroit Red Wings,1,New York Islanders,0,Regulation
2024-10-22,6:00 PM,8:00 PM,Winnipeg Jets,3,St. Louis Blues,2,Regulation
2024-10-22,6:15 PM,8:15 PM,Vancouver Canucks,6,Chicago Blackhawks,3,Regulation
2024-10-22,6:30 PM,8:30 PM,Colorado Avalanche,3,Seattle Kraken,2,Regulation
2024-10-22,6:45 PM,8:45 PM,Boston Bruins,0,Nashville Predators,4,Regulation
2024-10-22,7:00 PM,9:00 PM,Carolina Hurricanes,3,Edmonton Oilers,2,OT
2024-10-22,7:15 PM,9:15 PM,Ottawa Senators,4,Utah Hockey Club,0,Regulation
2024-10-22,7:30 PM,9:30 PM,Pittsburgh Penguins,3,Calgary Flames,4,SO
2024-10-22,8:15 PM,10:15 PM,San Jose Sharks,1,Anaheim Ducks,3,Regulation
2024-10-22,9:00 PM,11:00 PM,Los Angeles Kings,1,Vegas Golden Knights,6,Regulation
2024-10-23,5:30 PM,7:30 PM,Philadelphia Flyers,3,Washington Capitals,6,Regulation
2024-10-24,5:00 PM,7:00 PM,Dallas Stars,5,Boston Bruins,2,Regulation
2024-10-24,5:00 PM,7:00 PM,St. Louis Blues,5,Toronto Maple Leafs,1,Regulation
2024-10-24,5:00 PM,7:00 PM,New Jersey Devils,3,Detroit Red Wings,5,Regulation
2024-10-24,5:00 PM,7:00 PM,Minnesota Wild,4,Tampa Bay Lightning,2,Regulation
2024-10-24,5:00 PM,7:00 PM,Florida Panthers,3,New York Rangers,1,Regulation
2024-10-24,7:00 PM,9:00 PM,Carolina Hurricanes,4,Calgary Flames,2,Regulation
2024-10-24,7:00 PM,9:00 PM,Colorado Avalanche,5,Utah Hockey Club,1,Regulation
2024-10-24,8:00 PM,10:00 PM,Winnipeg Jets,4,Seattle Kraken,3,OT
2024-10-24,8:30 PM,10:30 PM,San Jose Sharks,2,Los Angeles Kings,3,Regulation
2024-10-25,4:00 PM,6:00 PM,Ottawa Senators,4,Vegas Golden Knights,6,Regulation
2024-10-25,5:00 PM,7:00 PM,New York Islanders,4,New Jersey Devils,3,OT
2024-10-25,6:30 PM,8:30 PM,Nashville Predators,3,Chicago Blackhawks,2,Regulation
2024-10-25,7:00 PM,9:00 PM,Pittsburgh Penguins,0,Edmonton Oilers,4,Regulation
2024-10-26,11:00 AM,1:00 PM,Detroit Red Wings,3,Buffalo Sabres,5,Regulation
2024-10-26,11:00 AM,1:00 PM,Minnesota Wild,5,Philadelphia Flyers,7,Regulation
2024-10-26,2:00 PM,4:00 PM,Utah Hockey Club,2,Los Angeles Kings,3,Regulation
2024-10-26,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Boston Bruins,4,OT
2024-10-26,5:00 PM,7:00 PM,St. Louis Blues,2,Montreal Canadiens,5,Regulation
2024-10-26,5:00 PM,7:00 PM,Washington Capitals,0,Tampa Bay Lightning,3,Regulation
2024-10-26,5:00 PM,7:00 PM,Anaheim Ducks,1,New York Rangers,2,Regulation
2024-10-26,5:00 PM,7:00 PM,Winnipeg Jets,5,Calgary Flames,3,Regulation
2024-10-26,5:30 PM,7:30 PM,Florida Panthers,6,New York Islanders,3,Regulation
2024-10-26,6:00 PM,8:00 PM,Columbus Blue Jackets,3,Nashville Predators,4,OT
2024-10-26,6:00 PM,8:00 PM,Chicago Blackhawks,2,Dallas Stars,4,Regulation
2024-10-26,8:00 PM,10:00 PM,Pittsburgh Penguins,3,Vancouver Canucks,4,Regulation
2024-10-26,8:00 PM,10:00 PM,San Jose Sharks,3,Vegas Golden Knights,7,Regulation
2024-10-26,8:00 PM,10:00 PM,Carolina Hurricanes,4,Seattle Kraken,1,Regulation
2024-10-27,4:00 PM,6:00 PM,Edmonton Oilers,3,Detroit Red Wings,2,OT
2024-10-27,5:00 PM,7:00 PM,Anaheim Ducks,2,New Jersey Devils,6,Regulation
2024-10-27,5:00 PM,7:00 PM,Montreal Canadiens,4,Philadelphia Flyers,3,Regulation
2024-10-27,7:00 PM,9:00 PM,Ottawa Senators,4,Colorado Avalanche,5,Regulation
2024-10-28,5:00 PM,7:00 PM,Florida Panthers,5,Buffalo Sabres,2,Regulation
2024-10-28,5:00 PM,7:00 PM,Edmonton Oilers,1,Columbus Blue Jackets,6,Regulation
2024-10-28,5:30 PM,7:30 PM,Nashville Predators,2,Tampa Bay Lightning,3,OT
2024-10-28,5:30 PM,7:30 PM,Toronto Maple Leafs,6,Winnipeg Jets,4,Regulation
2024-10-28,7:00 PM,9:00 PM,Chicago Blackhawks,5,Colorado Avalanche,2,Regulation
2024-10-28,7:00 PM,9:00 PM,San Jose Sharks,5,Utah Hockey Club,4,OT
2024-10-28,8:00 PM,10:00 PM,Carolina Hurricanes,4,Vancouver Canucks,3,OT
